Skip to main content

 

ConnectWise University
Welcome back Kyle
 ConnectWise RMM   Patching   Third-Party Patching   Supported Third-Party Applications
Supported Third-Party Applications
Last updated
Nov 20, 2025
Table of contents
No headers

The following are the Third-Party applications that are supported by our Patching.

Note: The following list relates to the legacy third-party patching. For improved Third-Party Patching, navigate to Endpoints > Patches > Approvals and click the Third-Party Patching tab.

Scala CLI	 	 	 	YES	 
SceneBuilder	 	 	 	YES	 
SchemaCrawler	 	 	 	YES	 
ScreenCloud	 	 	 	YES	 
Screenpresso	 	 	YES	YES	 
ScreenRecorder	 	 	 	YES	 
ScreenToGif	 	 	YES	YES	 
Seafile	 	 	 	YES	 
SeaMonkey	 	 	YES	YES	 
Seq	 	 	 	YES	 
ShareX	 	 	YES	YES	 
Sharik	 	 	 	YES	 
Simple DNSCrypt	 	 	YES	YES	 
Slack	 	YES	 	 	 
SmartFTP Client	 	 	 	YES	 
SmartRename	 	 	YES	YES	 
Snagit 2023	 	 	 	YES	 
SnakeTail	 	 	 	YES	 
SoftMaker Office 2024	 	 	YES	YES	 
Space Thumbnails	 	 	 	YES	 
spacedesk Windows DRIVER	 	 	YES	YES	 
Speedtest by Ookla	 	 	YES	YES	 
Standard ML of New Jersey	 	 	 	YES	 
Stele	 	 	 	YES	 
stressor	 	 	 	YES	 
SUMO	 	 	 	YES	 
Synology Drive Client	 	 	YES	YES	 
Tableau Reader	 	 	 	YES	 
tastytrade	 	 	 	YES	 
TeamViewer	 	 	YES	YES	 
TeraCopy	 	 	YES	YES	 
Testcontainers Desktop	 	 	 	YES	 
Texmaker	 	 	 	YES	 
Texnomic SecureDNS Terminal	 	 	 	YES	 
Thetis	 	 	 	YES	 
TightVNC	 	 	YES	YES	 
Topaz Photo AI	 	 	 	YES	 
TortoiseHg	 	 	YES	YES	 
Treasure Agent	 	 	 	YES	 
UltraVnc	 	 	YES	YES	 
Umbrella Roaming Client	 	 	YES	YES	 
Universal Adb Driver	 	 	 	YES	 
UsbDk	 	 	YES	YES	 
Viana	 	 	YES	YES	 
Violin	 	 	 	YES	 
VirtualBox	 	 	YES	YES	 
Visual Studio Code	YES	YES	YES	YES	 
VisualSVN Server	 	 	YES	YES	 
VLC media player	 	YES	YES	YES	 
VMware Horizon Client	 	 	 	YES	 
Volta	 	 	 	YES	 
WasmEdge	 	 	 	YES	 
Wasmtime	 	 	 	YES	 
Weasis	 	 	 	YES	 
WHONET Automation Tool	 	 	YES	YES	 
Winlogbeat	 	 	 	YES	 
WinMerge	 	 	YES	YES	YES
WinRAR	 	 	YES	YES	 
WireGuard	 	 	YES	YES	 
WinSCP	 	 	YES	YES	 
WinSSHTerm	 	 	 	YES	 
Wireshark	 	YES	 	YES	 
WizTree	 	 	YES	YES	 
workspacer	 	 	 	YES	 
XBatteryStatus	 	 	 	YES	 
XCA	 	 	 	YES	 
Zeal	 	 	 	YES	 
Zoom	 	YES	YES	YES	 
Zulu 10	 	 	 	YES	 
Zulu 12	 	 	 	YES	 

 

Improved Third-Party Patching Windows 11 Patch Assessment issue
Was this article helpful?
Yes
No
Leave feedback
Recommended articles
Improved Third-Party Patching
To utilize Improved Third-Party patching on your sites, you must create a policy, add it to a package, and then assign it to your sites.
OS Patching
OS patching is a critical feature that helps to keep your managed endpoints up to date on the many security and non-security patches released every mo...
Patch Testing
Windows 11 Patch Assessment issue
 

ConnectWise.com

University Help

Contact Us

Live Chat

     

© ConnectWise. All Rights Reserved.
